[env] host=stud-000 date=Fri Nov 21 09:51:44 CET 2025
[env] RUN_DIR=/home/canelo/uncertainty_quantification/outputs/trainings/training_prune2_new_ds_base_point_20251120-1706/point_300_epochs_200ep_s1_20251121-095142
[model] in_dim=4772 hidden=[512, 512, 256] head=point params=2,840,577
[train] host=stud-000 device=cuda head=point epochs=300
[epoch 156] train_loss=1436.2458 val_loss=2485.0461 val_mae_orig=2482.5833 obj(val_mae_orig)=2482.5833
[epoch 157] train_loss=1434.5047 val_loss=2490.7545 val_mae_orig=2488.0928 obj(val_mae_orig)=2488.0928
[epoch 158] train_loss=1427.1298 val_loss=2504.5020 val_mae_orig=2501.2310 obj(val_mae_orig)=2501.2310
[epoch 159] train_loss=1428.0840 val_loss=2473.1664 val_mae_orig=2470.0012 obj(val_mae_orig)=2470.0012
[epoch 160] train_loss=1427.4697 val_loss=2485.0271 val_mae_orig=2482.2935 obj(val_mae_orig)=2482.2935
[epoch 161] train_loss=1424.0231 val_loss=2506.6290 val_mae_orig=2503.8032 obj(val_mae_orig)=2503.8032
[epoch 162] train_loss=1425.9543 val_loss=2459.5034 val_mae_orig=2456.2732 obj(val_mae_orig)=2456.2732
[epoch 163] train_loss=1427.9237 val_loss=2490.7559 val_mae_orig=2488.3423 obj(val_mae_orig)=2488.3423
[epoch 164] train_loss=1433.9880 val_loss=2484.9930 val_mae_orig=2482.3765 obj(val_mae_orig)=2482.3765
[epoch 165] train_loss=1425.6715 val_loss=2467.8295 val_mae_orig=2464.9893 obj(val_mae_orig)=2464.9893
[epoch 166] train_loss=1421.6476 val_loss=2553.7767 val_mae_orig=2551.4460 obj(val_mae_orig)=2551.4460
[epoch 167] train_loss=1419.6579 val_loss=2477.5628 val_mae_orig=2474.7454 obj(val_mae_orig)=2474.7454
[epoch 168] train_loss=1441.5449 val_loss=2468.1323 val_mae_orig=2465.8445 obj(val_mae_orig)=2465.8445
[epoch 169] train_loss=1429.3064 val_loss=2483.6868 val_mae_orig=2481.4944 obj(val_mae_orig)=2481.4944
[epoch 170] train_loss=1417.9342 val_loss=2466.8949 val_mae_orig=2464.2939 obj(val_mae_orig)=2464.2939
[epoch 171] train_loss=1432.2271 val_loss=2494.5323 val_mae_orig=2491.7939 obj(val_mae_orig)=2491.7939
[epoch 172] train_loss=1424.2200 val_loss=2483.9886 val_mae_orig=2481.2131 obj(val_mae_orig)=2481.2131
[epoch 173] train_loss=1421.1826 val_loss=2487.0526 val_mae_orig=2484.6157 obj(val_mae_orig)=2484.6157
[epoch 174] train_loss=1414.7464 val_loss=2481.8407 val_mae_orig=2479.1001 obj(val_mae_orig)=2479.1001
[epoch 175] train_loss=1418.6294 val_loss=2498.0870 val_mae_orig=2495.5154 obj(val_mae_orig)=2495.5154
[epoch 176] train_loss=1423.8242 val_loss=2468.3704 val_mae_orig=2465.9658 obj(val_mae_orig)=2465.9658
[epoch 177] train_loss=1419.4956 val_loss=2477.1280 val_mae_orig=2474.3809 obj(val_mae_orig)=2474.3809
[epoch 178] train_loss=1414.1502 val_loss=2521.9544 val_mae_orig=2520.2810 obj(val_mae_orig)=2520.2810
[epoch 179] train_loss=1423.3433 val_loss=2475.3707 val_mae_orig=2473.2366 obj(val_mae_orig)=2473.2366
[epoch 180] train_loss=1418.1881 val_loss=2469.5881 val_mae_orig=2467.4534 obj(val_mae_orig)=2467.4534
[epoch 181] train_loss=1423.8169 val_loss=2498.5270 val_mae_orig=2496.4524 obj(val_mae_orig)=2496.4524
[epoch 182] train_loss=1402.3542 val_loss=2467.4318 val_mae_orig=2466.1155 obj(val_mae_orig)=2466.1155
[epoch 183] train_loss=1401.5745 val_loss=2480.5397 val_mae_orig=2478.3918 obj(val_mae_orig)=2478.3918
[epoch 184] train_loss=1412.4045 val_loss=2465.4750 val_mae_orig=2462.8857 obj(val_mae_orig)=2462.8857
[epoch 185] train_loss=1397.8287 val_loss=2505.1568 val_mae_orig=2502.5767 obj(val_mae_orig)=2502.5767
[epoch 186] train_loss=1407.7373 val_loss=2466.5431 val_mae_orig=2464.0503 obj(val_mae_orig)=2464.0503
[epoch 187] train_loss=1407.0798 val_loss=2458.2446 val_mae_orig=2455.5752 obj(val_mae_orig)=2455.5752
[epoch 188] train_loss=1397.3722 val_loss=2540.1646 val_mae_orig=2538.1333 obj(val_mae_orig)=2538.1333
[epoch 189] train_loss=1401.2106 val_loss=2491.5960 val_mae_orig=2489.3123 obj(val_mae_orig)=2489.3123
[epoch 190] train_loss=1400.0451 val_loss=2483.1702 val_mae_orig=2480.7405 obj(val_mae_orig)=2480.7405
[epoch 191] train_loss=1411.9209 val_loss=2579.7898 val_mae_orig=2577.6089 obj(val_mae_orig)=2577.6089
[epoch 192] train_loss=1413.2954 val_loss=2494.9716 val_mae_orig=2491.8147 obj(val_mae_orig)=2491.8147
[epoch 193] train_loss=1410.5923 val_loss=2477.3697 val_mae_orig=2475.1377 obj(val_mae_orig)=2475.1377
[epoch 194] train_loss=1407.2585 val_loss=2525.2273 val_mae_orig=2522.3000 obj(val_mae_orig)=2522.3000
